grid_id,lat,lon,total_viol,avg_cis,max_cis,weeks_active,months_active,peak_hour,top_vehicle,near_junction,police_station,persistence,hotspot_score,hotspot_rank,tier
12.954_77.543,12.954,77.543,479,2.224300835073069,6.6667,23,6,10,SCOOTER,1,Byatarayanapura,0.9583,0.4083,55,Critical
13.012_77.554,13.012,77.554,985,1.015270964467005,3.125,23,6,9,PASSENGER AUTO,0,Malleshwaram,0.9583,0.4077,56,Critical
12.975_77.545,12.975,77.545,1011,1.268786646884273,6.6667,22,6,8,SCOOTER,1,Vijayanagara,0.9167,0.4073,57,Critical
13.008000000000001_77.696,13.008000000000001,77.696,1031,0.8852056256062076,3.5417,23,6,0,PASSENGER AUTO,0,K.R. Pura,0.9583,0.4068,58,Critical
12.98_77.61,12.98,77.61,398,3.020780653266332,6.0,21,6,10,CAR,1,Shivajinagar,0.875,0.4067,59,Critical
12.999_77.549,12.999,77.549,991,1.247205549949546,5.6667,22,6,7,SCOOTER,1,Rajajinagar,0.9167,0.4047,60,Critical
12.964_77.583,12.964,77.583,306,2.8483901960784315,6.6667,22,6,10,CAR,1,Halasuru Gate,0.9167,0.4042,61,Critical
12.978_77.577,12.978,77.577,801,1.6679082397003746,6.6667,22,6,1,CAR,1,Upparpet,0.9167,0.4036,62,Critical
13.008000000000001_77.554,13.008000000000001,77.554,529,1.9778776937618145,6.6667,23,6,2,CAR,1,Malleshwaram,0.9583,0.4034,63,Critical
13.01_77.55,13.01,77.55,176,2.806747727272727,10.0,23,6,6,CAR,1,Malleshwaram,0.9583,0.4033,64,Critical
12.975_77.575,12.975,77.575,613,2.7447292006525283,6.6667,20,6,8,CAR,1,Upparpet,0.8333,0.403,65,Critical
12.979000000000001_77.607,12.979000000000001,77.607,323,2.4320219814241484,6.6667,23,6,10,CAR,1,Shivajinagar,0.9583,0.4022,66,Critical
12.961_77.578,12.961,77.578,383,2.288768146214099,6.6667,23,6,6,SCOOTER,1,City Market,0.9583,0.4021,67,Critical
13.011000000000001_77.551,13.011000000000001,77.551,265,2.5576037735849058,10.0,23,6,6,CAR,1,Malleshwaram,0.9583,0.4018,68,Critical
12.976_77.575,12.976,77.575,427,2.475422950819672,6.6667,22,6,10,CAR,1,Upparpet,0.9167,0.4008,69,Critical
13.011000000000001_77.55,13.011000000000001,77.55,213,3.287128169014084,10.0,21,6,6,CAR,1,Malleshwaram,0.875,0.4002,70,Critical
12.978_77.57900000000001,12.978,77.57900000000001,806,1.5384394540942927,6.0,22,6,1,CAR,1,Upparpet,0.9167,0.3991,71,Critical
12.982000000000001_77.607,12.982000000000001,77.607,623,1.9424093097913324,6.6667,22,6,8,SCOOTER,1,Shivajinagar,0.9167,0.3981,72,Critical
12.973_77.581,12.973,77.581,361,2.544699168975069,10.0,22,6,7,PASSENGER AUTO,1,Upparpet,0.9167,0.3975,73,Critical
12.972_77.658,12.972,77.658,1165,0.6437169957081545,2.5,22,6,7,SCOOTER,0,Jeevanbheemanagar,0.9167,0.3972,74,Critical
12.975_77.57900000000001,12.975,77.57900000000001,266,2.437660902255639,6.6667,23,6,8,CAR,1,Upparpet,0.9583,0.3972,75,Critical
12.959_77.578,12.959,77.578,368,2.181067663043478,6.6667,23,6,11,SCOOTER,1,City Market,0.9583,0.3966,76,Critical
12.998000000000001_77.55,12.998000000000001,77.55,559,1.7169967799642218,6.6667,23,6,8,SCOOTER,1,Vijayanagara,0.9583,0.3961,77,Critical
12.978_77.58,12.978,77.58,383,2.449209138381201,6.6667,22,6,9,CAR,1,Upparpet,0.9167,0.3958,78,Critical
12.996_77.668,12.996,77.668,824,1.0667054611650484,3.75,23,6,10,SCOOTER,0,Mahadevapura,0.9583,0.395,79,Critical
12.971_77.598,12.971,77.598,448,1.8987917410714286,6.0,23,6,11,CAR,1,Cubbon Park,0.9583,0.393,80,Critical
12.998000000000001_77.553,12.998000000000001,77.553,593,1.5508984822934233,5.1,23,6,8,SCOOTER,1,Malleshwaram,0.9583,0.3927,81,Critical
13.009_77.554,13.009,77.554,626,1.7937073482428114,6.0,22,6,10,CAR,1,Malleshwaram,0.9167,0.3926,82,Critical
13.011000000000001_77.555,13.011000000000001,77.555,805,1.029195900621118,2.5,23,6,9,PASSENGER AUTO,0,Malleshwaram,0.9583,0.3919,83,Critical
12.977_77.574,12.977,77.574,216,2.378201388888889,6.6667,23,6,9,PASSENGER AUTO,1,Upparpet,0.9583,0.3904,84,Critical
12.943_77.571,12.943,77.571,658,1.3124249240121582,5.0,23,6,11,SCOOTER,1,Basavanagudi,0.9583,0.3895,85,Critical
12.979000000000001_77.57300000000001,12.979000000000001,77.57300000000001,321,2.4107915887850466,6.0,22,6,10,CAR,1,Upparpet,0.9167,0.3887,86,Critical
12.973_77.578,12.973,77.578,532,1.9049208646616542,6.6667,22,6,9,SCOOTER,1,Upparpet,0.9167,0.3884,87,Critical
13.001_77.55,13.001,77.55,378,2.2306576719576716,6.6667,22,6,8,CAR,1,Malleshwaram,0.9167,0.387,88,Critical
12.965_77.574,12.965,77.574,531,2.1951282485875705,6.6667,21,6,0,CAR,1,City Market,0.875,0.3869,89,Critical
13.008000000000001_77.571,13.008000000000001,77.571,876,0.7297307077625571,2.25,23,6,9,CAR,0,Malleshwaram,0.9583,0.3868,90,Critical
12.981_77.598,12.981,77.598,977,1.142133469805527,5.1,21,6,5,SCOOTER,1,Shivajinagar,0.875,0.3868,91,Critical
13.012_77.552,13.012,77.552,786,0.9368173027989821,4.1667,23,6,10,CAR,0,Malleshwaram,0.9583,0.3866,92,Critical
13.009_77.555,13.009,77.555,851,1.102962749706228,5.6667,22,6,10,SCOOTER,1,Malleshwaram,0.9167,0.3864,93,Critical
12.971_77.57600000000001,12.971,77.57600000000001,357,2.912047338935574,6.6667,20,6,9,PASSENGER AUTO,1,City Market,0.8333,0.3863,94,Critical
13.012_77.553,13.012,77.553,786,0.9037750636132316,2.5,23,6,10,CAR,0,Malleshwaram,0.9583,0.3853,95,Critical
12.982000000000001_77.611,12.982000000000001,77.611,492,1.5786652439024391,5.0,23,6,10,PASSENGER AUTO,1,Shivajinagar,0.9583,0.3847,96,Critical
12.965_77.577,12.965,77.577,552,1.7603262681159422,6.6667,22,6,9,SCOOTER,1,City Market,0.9167,0.3846,97,Critical
12.945_77.571,12.945,77.571,554,1.7470167870036102,6.6667,22,6,10,SCOOTER,1,Basavanagudi,0.9167,0.3843,98,Critical
13.002_77.55,13.002,77.55,322,2.291251242236025,6.6667,22,6,7,CAR,1,Malleshwaram,0.9167,0.3842,99,Critical
12.964_77.58200000000001,12.964,77.58200000000001,178,2.9296089887640453,6.6667,21,5,11,CAR,1,Halasuru Gate,0.875,0.3832,100,Critical
12.996_77.669,12.996,77.669,669,1.3688946188340807,3.75,22,6,10,PASSENGER AUTO,0,Mahadevapura,0.9167,0.3801,101,Critical
12.94_77.696,12.94,77.696,969,1.9409455108359133,4.1667,18,6,8,CAR,0,HAL Old Airport,0.75,0.3794,102,Critical
12.979000000000001_77.58,12.979000000000001,77.58,472,1.8108135593220338,6.6667,22,6,1,CAR,1,Upparpet,0.9167,0.3793,103,Critical
12.964_77.58,12.964,77.58,212,3.0517014150943393,6.6667,20,6,7,CAR,1,Halasuru Gate,0.8333,0.3785,104,Critical
12.981_77.575,12.981,77.575,245,2.3234502040816327,6.6667,22,6,3,PASSENGER AUTO,1,Upparpet,0.9167,0.3785,105,Critical
12.976_77.581,12.976,77.581,267,2.8950228464419476,6.6667,20,6,4,CAR,1,Upparpet,0.8333,0.3775,106,Critical
12.997_77.548,12.997,77.548,485,1.7258942268041237,6.6667,22,6,10,SCOOTER,1,Vijayanagara,0.9167,0.3772,107,Critical
12.979000000000001_77.581,12.979000000000001,77.581,541,1.5773304990757855,6.6667,22,6,2,SCOOTER,1,Upparpet,0.9167,0.3766,108,Critical
12.978_77.57600000000001,12.978,77.57600000000001,502,1.6461099601593627,6.0,22,6,10,SCOOTER,1,Upparpet,0.9167,0.3757,109,Critical
12.976_77.583,12.976,77.583,149,2.7970812080536915,6.6667,21,6,7,CAR,1,Upparpet,0.875,0.3755,110,Critical
12.967_77.574,12.967,77.574,302,2.4359145695364237,6.6667,21,6,3,LGV,1,Chamarajpet,0.875,0.3755,111,Critical
12.93_77.685,12.93,77.685,473,1.7040727272727272,5.0,22,6,8,CAR,0,HAL Old Airport,0.9167,0.3753,112,Critical
12.952_77.541,12.952,77.541,354,1.6438977401129944,5.0,23,6,12,SCOOTER,1,Byatarayanapura,0.9583,0.3747,113,Critical
13.008000000000001_77.549,13.008000000000001,77.549,347,1.661642939481268,4.25,23,6,10,SCOOTER,1,Rajajinagar,0.9583,0.3747,114,Critical
12.978_77.581,12.978,77.581,190,2.679336842105263,10.0,21,6,8,CAR,1,Upparpet,0.875,0.3747,115,Critical
12.981_77.60300000000001,12.981,77.60300000000001,393,1.8784267175572518,6.6667,22,6,10,SCOOTER,1,Shivajinagar,0.9167,0.3747,116,Critical
12.999_77.551,12.999,77.551,229,2.5618353711790394,5.0,21,6,6,CAR,1,Malleshwaram,0.875,0.3737,117,Critical
12.936_77.616,12.936,77.616,410,1.8000843902439023,5.1,22,6,9,SCOOTER,1,Adugodi,0.9167,0.3733,118,Critical
12.976_77.57900000000001,12.976,77.57900000000001,257,2.15952140077821,6.0,22,6,9,CAR,1,Upparpet,0.9167,0.3732,119,Critical
12.96_77.644,12.96,77.644,130,2.776525384615385,6.0,21,6,4,PASSENGER AUTO,1,Jeevanbheemanagar,0.875,0.373,120,Critical
12.976_77.58,12.976,77.58,123,2.464321138211382,6.0,22,6,8,CAR,1,Upparpet,0.9167,0.3728,121,Critical
12.987_77.58,12.987,77.58,154,2.6805779220779224,6.6667,21,6,7,CAR,1,High ground,0.875,0.3715,122,Critical
12.964_77.581,12.964,77.581,176,2.946799431818182,6.6667,20,6,7,CAR,1,Halasuru Gate,0.8333,0.3712,123,Critical
12.988_77.538,12.988,77.538,194,1.9269938144329897,5.3333,23,6,10,CAR,1,Vijayanagara,0.9583,0.371,124,Critical
13.036_77.589,13.036,77.589,679,0.7646365243004419,2.5,23,6,4,PASSENGER AUTO,0,Hebbala,0.9583,0.3703,125,Critical
12.972_77.577,12.972,77.577,213,2.1212774647887325,6.6667,22,6,11,SCOOTER,1,City Market,0.9167,0.3678,126,Critical
12.953_77.542,12.953,77.542,196,2.4859229591836733,7.5,21,6,1,PASSENGER AUTO,1,Byatarayanapura,0.875,0.3678,127,Critical
12.946_77.571,12.946,77.571,154,1.9263746753246753,5.6667,23,6,10,SCOOTER,1,Basavanagudi,0.9583,0.3674,128,Critical
12.955_77.586,12.955,77.586,233,1.737107296137339,6.0,23,6,2,CAR,1,Wilson Garden,0.9583,0.3673,129,Critical
12.979000000000001_77.577,12.979000000000001,77.577,416,1.9509752403846152,6.6667,21,6,1,CAR,1,Upparpet,0.875,0.3671,130,Critical
12.928_77.581,12.928,77.581,416,1.6265584134615383,4.0,22,6,9,SCOOTER,1,Jayanagara,0.9167,0.3671,131,Critical
12.965_77.575,12.965,77.575,571,1.5718525394045533,6.6667,21,6,1,CAR,1,City Market,0.875,0.3666,132,Critical
12.975_77.58200000000001,12.975,77.58200000000001,201,2.7588616915422888,6.6667,20,6,4,CAR,1,Upparpet,0.8333,0.3662,133,Critical
12.985_77.554,12.985,77.554,244,1.9608647540983608,6.6667,22,6,9,SCOOTER,1,Rajajinagar,0.9167,0.3644,134,Critical
12.986_77.556,12.986,77.556,128,2.21001640625,6.6667,22,6,11,CAR,1,Rajajinagar,0.9167,0.3635,135,Critical
12.98_77.60300000000001,12.98,77.60300000000001,212,2.00906320754717,6.6667,22,6,7,SCOOTER,1,Shivajinagar,0.9167,0.3634,136,Critical
12.982000000000001_77.599,12.982000000000001,77.599,406,1.5340891625615762,5.1,22,6,5,SCOOTER,1,Shivajinagar,0.9167,0.3627,137,Critical
12.967_77.578,12.967,77.578,334,1.6992317365269463,6.6667,22,6,9,SCOOTER,1,City Market,0.9167,0.3625,138,Critical
12.998000000000001_77.549,12.998000000000001,77.549,378,1.589717724867725,6.6667,22,6,5,SCOOTER,1,Vijayanagara,0.9167,0.3623,139,Critical
12.983_77.607,12.983,77.607,490,1.3242187755102042,5.0,22,6,11,SCOOTER,1,Shivajinagar,0.9167,0.3622,140,Critical
13.191_77.646,13.191,77.646,595,1.0753786554621847,3.75,22,6,1,CAR,0,Chikkajala,0.9167,0.3621,141,Critical
12.981_77.599,12.981,77.599,568,1.1377964788732395,5.1,22,6,4,SCOOTER,1,Shivajinagar,0.9167,0.3621,142,Critical
12.98_77.555,12.98,77.555,118,2.1961466101694915,6.6667,22,6,6,CAR,1,Magadi Road,0.9167,0.362,143,Critical
12.984_77.578,12.984,77.578,250,2.2040151999999997,6.0,21,6,3,CAR,1,High ground,0.875,0.3618,144,Critical
12.976_77.561,12.976,77.561,375,1.9030952,10.0,21,6,10,SCOOTER,1,Magadi Road,0.875,0.3616,145,Critical
13.0_77.571,13.0,77.571,593,1.0570804384485666,2.125,22,6,10,CAR,0,Malleshwaram,0.9167,0.3612,146,Critical
12.998000000000001_77.552,12.998000000000001,77.552,203,1.6503645320197045,5.6667,23,6,10,SCOOTER,1,Rajajinagar,0.9583,0.3612,147,Critical
12.966000000000001_77.574,12.966000000000001,77.574,269,2.4631193308550188,6.6667,20,6,8,PASSENGER AUTO,1,Chamarajpet,0.8333,0.361,148,Critical
12.936_77.615,12.936,77.615,255,1.8473039215686275,6.375,22,6,12,SCOOTER,1,Adugodi,0.9167,0.361,149,Critical
13.0_77.677,13.0,77.677,777,1.2656640926640927,3.75,20,6,1,PASSENGER AUTO,0,Mahadevapura,0.8333,0.3609,150,Critical
12.968_77.536,12.968,77.536,214,1.9237373831775701,6.6667,22,6,12,CAR,1,Vijayanagara,0.9167,0.3603,151,Critical
13.003_77.55,13.003,77.55,276,2.4124152173913043,6.0,20,6,7,CAR,1,Malleshwaram,0.8333,0.3597,152,Critical
13.012_77.555,13.012,77.555,376,1.1984835106382978,2.25,23,6,9,PASSENGER AUTO,0,Malleshwaram,0.9583,0.3595,153,Critical
12.978_77.57300000000001,12.978,77.57300000000001,167,2.3365323353293412,6.6667,21,6,11,CAR,1,Upparpet,0.875,0.3594,154,Critical
12.975_77.577,12.975,77.577,221,2.514252488687783,6.6667,20,6,9,SCOOTER,1,Upparpet,0.8333,0.3586,155,Critical
12.969_77.537,12.969,77.537,479,1.2425118997912317,5.0,22,6,5,SCOOTER,1,Vijayanagara,0.9167,0.358,156,Critical
13.006_77.571,13.006,77.571,645,0.8330353488372094,2.5,22,6,10,CAR,0,Malleshwaram,0.9167,0.3573,157,Critical
12.963000000000001_77.577,12.963000000000001,77.577,331,1.8970580060422961,6.6667,21,6,22,CAR,1,City Market,0.875,0.3573,158,Critical
12.977_77.575,12.977,77.575,202,2.195859405940594,6.6667,21,6,10,CAR,1,Upparpet,0.875,0.3571,159,Critical
12.978_77.571,12.978,77.571,221,3.120455656108597,5.3333,18,6,8,PASSENGER AUTO,1,Chamarajpet,0.75,0.357,160,Critical
12.981_77.558,12.981,77.558,321,1.5850283489096573,6.6667,22,6,12,SCOOTER,1,Magadi Road,0.9167,0.3569,161,Critical
12.993_77.553,12.993,77.553,397,1.724639798488665,4.4444,21,6,3,CAR,1,Rajajinagar,0.875,0.3567,162,Critical
12.963000000000001_77.57900000000001,12.963000000000001,77.57900000000001,108,2.729010185185185,5.6667,20,6,6,CAR,1,City Market,0.8333,0.3566,163,Critical
13.007_77.571,13.007,77.571,687,0.7148713245997089,2.25,22,6,9,CAR,0,Malleshwaram,0.9167,0.3566,164,Critical
12.944_77.571,12.944,77.571,284,1.3378908450704226,5.6667,23,6,11,SCOOTER,1,Basavanagudi,0.9583,0.3565,165,Critical
13.008000000000001_77.556,13.008000000000001,77.556,245,2.0700632653061226,5.0,21,6,9,CAR,1,Malleshwaram,0.875,0.3562,166,Critical
13.013_77.554,13.013,77.554,425,0.9953877647058824,2.25,23,6,10,PASSENGER AUTO,0,Malleshwaram,0.9583,0.3561,167,Critical
12.972_77.598,12.972,77.598,214,2.1389859813084113,6.0,21,6,11,CAR,1,Cubbon Park,0.875,0.356,168,Critical
12.958_77.586,12.958,77.586,196,2.1632122448979594,6.6667,21,6,7,CAR,1,Wilson Garden,0.875,0.3553,169,Critical
12.973_77.58,12.973,77.58,199,2.1449170854271356,6.6667,21,6,9,SCOOTER,1,Upparpet,0.875,0.3549,170,Critical
12.982000000000001_77.612,12.982000000000001,77.612,449,0.8927632516703786,2.5,23,6,10,CAR,0,Shivajinagar,0.9583,0.3543,171,Critical
12.929_77.58200000000001,12.929,77.58200000000001,136,2.2690301470588237,6.6667,21,5,7,CAR,1,Jayanagara,0.875,0.354,172,Critical
12.999_77.571,12.999,77.571,528,0.9947164772727272,2.5,22,6,10,CAR,0,Malleshwaram,0.9167,0.3529,173,Critical
12.982000000000001_77.609,12.982000000000001,77.609,272,1.5855724264705882,5.0,22,6,11,SCOOTER,1,Shivajinagar,0.9167,0.3525,174,Critical
13.0_77.551,13.0,77.551,276,2.210461956521739,5.1,20,6,8,CAR,1,Malleshwaram,0.8333,0.3519,175,Critical
12.971_77.59700000000001,12.971,77.59700000000001,168,2.455279761904762,6.0,20,6,11,CAR,1,Cubbon Park,0.8333,0.3515,176,Critical
12.98_77.614,12.98,77.614,479,1.0695835073068893,2.5,22,6,10,CAR,0,Shivajinagar,0.9167,0.3514,177,Critical
12.98_77.57300000000001,12.98,77.57300000000001,116,2.246778448275862,6.6667,21,6,2,CAR,1,Upparpet,0.875,0.3513,178,Critical
12.926_77.584,12.926,77.584,66,2.6737272727272727,4.5333,20,6,10,CAR,1,Jayanagara,0.8333,0.3507,179,Critical
12.965_77.581,12.965,77.581,83,3.9138518072289155,6.6667,16,6,10,PASSENGER AUTO,1,Halasuru Gate,0.6667,0.35,180,Critical
12.958_77.58200000000001,12.958,77.58200000000001,147,2.461333333333333,6.6667,20,6,8,SCOOTER,1,City Market,0.8333,0.3499,181,Critical
12.842_77.646,12.842,77.646,703,0.4941238975817923,2.5,22,6,13,SCOOTER,0,Electronic City,0.9167,0.3495,182,Critical
13.008000000000001_77.694,13.008000000000001,77.694,624,0.6691677884615385,2.5,22,6,0,CAR,0,K.R. Pura,0.9167,0.3491,183,Critical
12.974_77.575,12.974,77.575,97,2.554105154639175,6.6667,20,6,10,CAR,1,Upparpet,0.8333,0.3489,184,Critical
12.931000000000001_77.584,12.931000000000001,77.584,139,2.1077805755395684,4.4444,21,6,10,CAR,1,Jayanagara,0.875,0.348,185,Critical
12.973_77.577,12.973,77.577,224,1.89003125,6.6667,21,6,7,SCOOTER,1,City Market,0.875,0.3474,186,Critical
12.995000000000001_77.696,12.995000000000001,77.696,385,1.5094355844155845,3.75,21,6,11,PASSENGER AUTO,0,Mahadevapura,0.875,0.3473,187,Critical
13.013_77.555,13.013,77.555,298,1.0643651006711408,2.5,23,6,11,PASSENGER AUTO,0,Malleshwaram,0.9583,0.3472,188,Critical
13.07_77.58800000000001,13.07,77.58800000000001,792,0.5485825757575757,2.5,21,6,11,SCOOTER,0,Kodigehalli,0.875,0.3472,189,Critical
12.984_77.605,12.984,77.605,295,1.7171925423728813,6.6667,21,5,3,SCOOTER,1,Shivajinagar,0.875,0.3471,190,Critical
12.985_77.602,12.985,77.602,104,2.8155403846153844,6.0,19,6,11,CAR,1,Shivajinagar,0.7917,0.3471,191,Critical
12.976_77.559,12.976,77.559,700,0.43479142857142855,3.125,22,6,4,SCOOTER,0,Magadi Road,0.9167,0.347,192,Critical
12.96_77.575,12.96,77.575,66,3.5176590909090906,6.6667,17,6,9,LGV,1,City Market,0.7083,0.3457,193,Critical
